id,symbol,date,open_price,high_price,low_price,close_price,volume,created_at
126,CLVL,2026-01-23,17.1,17.89,15.7,16.89,34636,2026-01-22 19:58:18
127,CNERGY,2026-01-23,8.03,8.19,7.8,8.15,27412657,2026-01-22 19:58:21
128,COLG,2026-01-23,1273.79,1274.99,1265.0,1273.45,1035,2026-01-22 19:58:24
129,CPHL,2026-01-23,90.6,91.3,89.79,90.25,735812,2026-01-22 19:58:28
130,CPPL,2026-01-23,98.26,99.9,98.0,98.7,92863,2026-01-22 19:58:31
131,CRTM,2026-01-23,24.19,24.19,24.02,24.02,11527,2026-01-22 19:58:35
132,CSAP,2026-01-23,138.0,142.0,134.0,136.0,3862779,2026-01-22 19:58:38
133,CSIL,2026-01-23,7.27,7.3,6.95,6.98,2621455,2026-01-22 19:58:41
134,CSILR3,2026-01-23,2.75,3.65,2.75,3.15,27003076,2026-01-22 19:58:43
135,CTM,2026-01-23,7.8,8.15,7.8,7.82,141577,2026-01-22 19:58:46
136,CYAN,2026-01-23,47.7,47.95,47.2,47.2,2802,2026-01-22 19:58:50
137,DAAG,2026-01-23,89.0,89.0,86.6,86.6,1001,2026-01-22 19:58:53
138,DADX,2026-01-23,60.48,60.48,59.04,59.88,8453,2026-01-22 19:58:57
139,DBCI,2026-01-23,7.3,7.35,7.2,7.2,9156,2026-01-22 19:59:00
140,DCL,2026-01-23,13.29,13.42,12.89,12.95,1369360,2026-01-22 19:59:06
141,DCR,2026-01-23,38.15,38.19,37.9,37.99,125986,2026-01-22 19:59:09
142,DEL,2026-01-23,24.5,24.5,22.25,24.4,7651,2026-01-22 19:59:15
143,DFML,2026-01-23,27.74,27.82,25.71,25.88,3895168,2026-01-22 19:59:18
144,DFSM,2026-01-23,6.75,6.9,6.33,6.38,3687350,2026-01-22 19:59:21
145,DGKC,2026-01-23,237.0,237.16,234.1,235.83,979528,2026-01-22 19:59:24
146,DHPL,2026-01-23,33.75,33.75,33.0,33.29,137610,2026-01-22 19:59:29
147,DIIL,2026-01-23,77.3,77.3,77.0,77.0,101,2026-01-22 19:59:32
148,DINT,2026-01-23,66.08,68.98,62.05,63.02,1415,2026-01-22 19:59:35
149,DKTM,2026-01-23,1.01,1.01,0.81,0.81,2000,2026-01-22 19:59:38
150,DLL,2026-01-23,666.99,666.99,642.11,651.9,356,2026-01-22 19:59:41
151,DMC,2026-01-23,244.51,244.52,230.0,244.0,86,2026-01-22 19:59:44
152,DMTM,2026-01-23,8.32,9.24,8.32,9.14,4459,2026-01-22 19:59:48
153,DNCC,2026-01-23,21.55,21.98,21.2,21.4,28776,2026-01-22 19:59:52
154,DOL,2026-01-23,32.58,32.99,32.52,32.88,52472,2026-01-22 19:59:54
155,DSFL,2026-01-23,0.97,0.99,0.73,0.88,4434000,2026-01-22 19:59:57
156,DSIL,2026-01-23,10.6,10.78,10.5,10.6,165018,2026-01-22 20:00:01
157,DSL,2026-01-23,7.89,7.89,7.7,7.75,224075,2026-01-22 20:00:05
158,DWAE,2026-01-23,31.89,32.0,28.5,29.44,136324,2026-01-22 20:00:08
159,DWSM,2026-01-23,7.66,7.8,7.21,7.23,68837,2026-01-22 20:00:12
160,DWTM,2026-01-23,7.84,7.84,7.0,7.13,13641,2026-01-22 20:00:16
161,DYNO,2026-01-23,295.01,296.77,290.5,295.99,5622,2026-01-22 20:00:19
162,ECOP,2026-01-23,58.7,58.8,57.48,58.0,76188,2026-01-22 20:00:23
163,EFERT,2026-01-23,246.0,248.0,245.0,245.3,1335569,2026-01-22 20:00:27
